Bundesland;BM;Bf. Nr.;Station;Bf DS 100 Abk.;Kat. Vst;Straße;PLZ;Ort;Aufgabenträger;Verkehrsverb.;Fernverkehr;Nahverkehr
Nordrhein-Westfalen;Aachen;1;Aachen Hbf;KA;2;Bahnhofplatz 2a;52064;Aachen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;ja;ja
Nordrhein-Westfalen;Aachen;2;Aachen-Rothe Erde;KARE;4;Beverstr. 48;52066;Aachen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;3;Aachen West;KAW;5;Republikplatz 1;52072;Aachen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;184;Arsbeck;KARS;7;Heidestr.1;41844;Wegberg;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;235;Hückelhoven-Baal;KBA;4;Bahnstr.11;41836;Hückelhoven-Baal;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;447;Bedburg (Erft);KBE;6;Bahnstr.15;50181;Bedburg (Erft);Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;507;Bergheim (Erft);KBEE;6;Kölnerstr. 1;50126;Bergheim ;Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;757;Boisheim;KBOI;6;Raiffeisenstr. 13;41751;Viersen;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;810;Brachelen;KBRC;6;Hans-Horrig-Str. 46;41836;Hückelhoven;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;883;Nettetal-Breyell;KBRY;6;Josefstr.2;41334;Nettetal;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;962;Buir;KBUH;5;An der Brennerei 2;50170;Kerpen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;1011;Büttgen;KBUT;6;Driescher Birkhofstraße 1;41564;Kaarst;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
